Marca,Modelo,Ano-modelo,Amplitude
Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0,-0.0012318280538424328
Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0,0.0038721311645959025
Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0,-0.01229066638427706
Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0,-0.0002307631982201132
Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0,0.0022129370023033696
Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0,-0.005010023904149058
Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0,-0.11124778445476476
Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0,0.0022129370023033696
Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0,-0.005010023904149058
Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2017.0,-0.006021019962481694
Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2018.0,-0.002132159140926161
Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2015.0,0.013685900071465109
Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2016.0,0.005528438783993821
Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2017.0,0.00759005892987035
Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2018.0,-0.008310859635693502
BMW,X1 XDRIVE 28i Sport 2.0 ActiveFlex Aut.,2015.0,0.01216984671603893
CAOA Chery,Tiggo 2.0 16V Aut. 5p,2015.0,-0.00019604701152101884
CAOA Chery,Tiggo 2.0 16V Mec. 5p,2015.0,-0.01016505513205002
