Valores reais,Valores preditos,Erros relativos,Meses,Marca,Modelo,Ano-modelo
243287.0,242670.03262756398,-616.9673724360182,Mês 32,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
240874.0,242241.1283173107,1367.1283173107076,Mês 33,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
236484.0,241808.39171292188,5324.391712921875,Mês 34,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
239851.0,241448.70305183434,1597.703051834338,Mês 35,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
234274.0,241099.0295700515,6825.029570051498,Mês 36,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
294005.0,291390.3181818182,-2614.6818181818235,Mês 14,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
293044.0,294864.6666666667,1820.666666666686,Mês 15,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
297039.0,297913.8895775941,874.88957759412,Mês 16,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
298510.0,300796.29285277013,2286.2928527701297,Mês 17,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
298400.0,303274.57799644745,4874.57799644745,Mês 18,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
302473.0,305997.1569977398,3524.156997739803,Mês 19,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
293800.0,308157.9330299275,14357.933029927488,Mês 20,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
291230.0,310380.8999971895,19150.899997189525,Mês 21,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
287000.0,312781.58627036045,25781.58627036045,Mês 22,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
285000.0,314904.8694832009,29904.86948320089,Mês 23,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
284608.0,317182.447724396,32574.447724396014,Mês 24,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
278694.0,319723.89131190465,41029.89131190465,Mês 25,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
271707.0,322694.4775623224,50987.4775623224,Mês 26,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
268950.0,324916.25590545114,55966.25590545114,Mês 27,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
271707.0,327192.693706083,55485.693706082995,Mês 28,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
271707.0,329508.7676377834,57801.76763778343,Mês 29,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
268242.0,331877.43035682343,63635.43035682343,Mês 30,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
266879.0,334256.2316739744,67377.23167397443,Mês 31,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
262075.0,336705.3538686145,74630.35386861447,Mês 32,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
259956.0,339144.69316483045,79188.69316483045,Mês 33,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
254239.0,341571.07396926393,87332.07396926393,Mês 34,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
252245.0,344008.0397133794,91763.0397133794,Mês 35,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
248299.0,346399.10770376143,98100.10770376143,Mês 36,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
