Marca,Modelo,Ano-modelo,Mes 1,Mes 2,Mes 3,Mes 4,Mes 5,Mes 6,Mes 7,Mes 8,Mes 9,Mes 10,Mes 11,Mes 12,Mes 13,Mes 14,Mes 15,Mes 16,Mes 17,Mes 18,Mes 19,Mes 20,Mes 21,Mes 22,Mes 23,Mes 24,Mes 25,Mes 26,Mes 27,Mes 28,Mes 29,Mes 30,Mes 31,Mes 32,Mes 33,Mes 34,Mes 35,Mes 36
Mercedes-Benz,CLA-250 Sport 4MATIC 2.0 16V 211cv Aut.,2015,"169,083.00","169,010.00","168,732.00","168,073.00","170,122.00","172,078.00","174,318.00","174,600.00","175,015.00","174,255.00","171,235.00","170,301.00","164,852.00","164,247.00","164,302.00","164,450.00","168,350.00","168,100.00","167,345.00","167,267.00","167,782.00","164,795.00","165,458.00","167,017.00","166,062.00","162,233.00","160,622.00","158,631.00","156,568.00","158,448.00","155,718.00","155,521.00","153,792.00","153,270.00","152,785.00","150,042.00"
Mercedes-Benz,CLA-250 Sport 4MATIC 2.0 16V 211cv Aut.,2016,"171,396.00","170,880.00","170,417.00","169,663.00","173,503.00","174,255.00","173,865.00","176,254.00","175,882.00","178,063.00","178,540.00","180,694.00","180,655.00","178,545.00","176,772.00","176,058.00","175,346.00","177,729.00","175,790.00","173,588.00","175,916.00","176,767.00","177,187.00","173,838.00","176,260.00","178,660.00","176,091.00","178,192.00","180,574.00","182,979.00","184,617.00","179,405.00","175,816.00","173,175.00","172,804.00","174,570.00"
Mercedes-Benz,CLA-250 Sport 4MATIC 2.0 16V 211cv Aut.,2017,"191,730.00","191,720.00","189,816.00","192,462.00","195,144.00","197,745.00","191,145.00","193,698.00","196,267.00","196,125.00","195,205.00","195,114.00","194,326.00","193,845.00","193,315.00","192,354.00","193,885.00","193,781.00","196,374.00","193,148.00","193,565.00","191,484.00","188,863.00","190,468.00","186,971.00","182,514.00","179,328.00","177,848.00","176,645.00","177,335.00","176,369.00","175,073.00","173,459.00","170,788.00","168,253.00","166,935.00"
Mercedes-Benz,CLA-250 Sport 4MATIC 2.0 16V 211cv Aut.,2018,"200,291.00","199,985.00","199,168.00","198,656.00","200,010.00","200,963.00","203,669.00","204,433.00","203,102.00","203,895.00","206,586.00","206,780.00","204,510.00","199,301.00","196,638.00","196,165.00","197,456.00","192,816.00","188,297.00","185,402.00","185,827.00","182,796.00","181,276.00","179,773.00","176,694.00","174,848.00","173,892.00","172,596.00","172,733.00","171,972.00","170,766.00","169,710.00","168,692.00","171,357.00","172,556.00","172,950.00"
Mercedes-Benz,CLA-250 Sport 4MATIC 2.0 16V 211cv Aut.,2019,"218,644.00","217,244.00","215,875.00","214,558.00","213,292.00","212,076.00","210,888.00","215,949.00","221,131.00","221,020.00","219,539.00","218,111.00","216,715.00","210,996.00","203,400.00","196,281.00","191,694.00","192,603.00","190,243.00","188,309.00","187,469.00","190,284.00","190,000.00","192,450.00","190,000.00","188,438.00","187,993.00","195,990.00","195,990.00","203,639.00","218,911.00","221,332.00","226,663.00","227,305.00","230,442.00","229,416.00"
Mercedes-Benz,GLA 200 Vis. Black Ed. 1.6 TB 16V Aut.,2015,"137,191.00","137,183.00","136,929.00","136,785.00","137,111.00","137,379.00","138,315.00","138,513.00","138,781.00","138,647.00","137,445.00","137,125.00","136,525.00","136,033.00","135,369.00","137,684.00","139,153.00","138,862.00","138,301.00","140,124.00","139,658.00","139,442.00","141,088.00","139,261.00","136,011.00","133,926.00","133,984.00","131,035.00","128,150.00","129,878.00","129,082.00","129,860.00","127,431.00","128,241.00","129,954.00","131,662.00"
Mercedes-Benz,CLA-200 First Edition 1.6 TB 16V Aut.,2015,"136,701.00","136,704.00","136,970.00","137,111.00","138,761.00","138,695.00","138,543.00","138,340.00","138,110.00","137,868.00","137,276.00","137,105.00","136,427.00","136,039.00","135,415.00","132,282.00","129,186.00","132,046.00","134,541.00","136,397.00","137,587.00","137,587.00","135,934.00","134,043.00","132,418.00","129,277.00","127,085.00","124,149.00","121,255.00","122,909.00","120,723.00","118,792.00","117,808.00","119,358.00","119,634.00","117,367.00"
Mini,COOPER Countryman S 1.6 Aut.,2015,"120,992.00","121,106.00","121,338.00","121,518.00","122,987.00","124,483.00","122,174.00","121,740.00","119,577.00","117,405.00","117,204.00","114,592.00","111,936.00","113,297.00","114,261.00","116,850.00","119,550.00","116,890.00","116,317.00","115,030.00","113,521.00","111,460.00","109,945.00","108,385.00","105,803.00","105,792.00","105,572.00","103,106.00","100,697.00","97,844.00","98,927.00","100,266.00","98,415.00","96,694.00","97,997.00","96,625.00"
Mini,COOPER Countryman S 1.6 Aut.,2016,NaN,NaN,NaN,"133,295.00","133,129.00","132,561.00","132,120.00","131,880.00","131,550.00","131,295.00","130,814.00","130,215.00","129,954.00","126,894.00","126,402.00","123,425.00","120,518.00","120,193.00","118,251.00","119,847.00","120,422.00","120,289.00","118,086.00","115,905.00","117,452.00","118,985.00","119,252.00","119,738.00","120,778.00","122,157.00","123,622.00","120,178.00","117,912.00","115,771.00","113,541.00","111,780.00"
Mini,COOPER Countryman S ALL4 1.6 Aut.,2015,"126,560.00","126,264.00","126,211.00","126,120.00","127,629.00","129,150.00","130,020.00","130,207.00","131,381.00","130,955.00","128,478.00","126,556.00","123,733.00","120,925.00","119,773.00","119,200.00","121,636.00","125,200.00","120,317.00","119,115.00","117,635.00","115,594.00","114,192.00","113,265.00","110,616.00","108,918.00","108,375.00","106,656.00","106,021.00","103,017.00","102,769.00","104,105.00","107,451.00","105,455.00","103,965.00","102,007.00"
