X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Range,Y,Marca,Modelo,Ano-modelo
247150.0,247365.0,247737.0,250636.0,253743.0,254051.0,257703.0,255805.0,254599.0,256606.0,252009.0,246273.0,Mês 1 - Mês 12,251973.08333333334,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
247365.0,247737.0,250636.0,253743.0,254051.0,257703.0,255805.0,254599.0,256606.0,252009.0,246273.0,251973.08333333334,Mês 2 - Mês 13,252375.00694444444,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
247737.0,250636.0,253743.0,254051.0,257703.0,255805.0,254599.0,256606.0,252009.0,246273.0,251973.08333333334,252375.00694444444,Mês 3 - Mês 14,252792.50752314815,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
250636.0,253743.0,254051.0,257703.0,255805.0,254599.0,256606.0,252009.0,246273.0,251973.08333333334,252375.00694444444,252792.50752314815,Mês 4 - Mês 15,253213.79981674382,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
253743.0,254051.0,257703.0,255805.0,254599.0,256606.0,252009.0,246273.0,251973.08333333334,252375.00694444444,252792.50752314815,253213.79981674382,Mês 5 - Mês 16,253428.61646813914,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
254051.0,257703.0,255805.0,254599.0,256606.0,252009.0,246273.0,251973.08333333334,252375.00694444444,252792.50752314815,253213.79981674382,253428.61646813914,Mês 6 - Mês 17,253402.41784048406,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
257703.0,255805.0,254599.0,256606.0,252009.0,246273.0,251973.08333333334,252375.00694444444,252792.50752314815,253213.79981674382,253428.61646813914,253402.41784048406,Mês 7 - Mês 18,253348.3693271911,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
255805.0,254599.0,256606.0,252009.0,246273.0,251973.08333333334,252375.00694444444,252792.50752314815,253213.79981674382,253428.61646813914,253402.41784048406,253348.3693271911,Mês 8 - Mês 19,252985.48343779033,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
254599.0,256606.0,252009.0,246273.0,251973.08333333334,252375.00694444444,252792.50752314815,253213.79981674382,253428.61646813914,253402.41784048406,253348.3693271911,252985.48343779033,Mês 9 - Mês 20,252750.52372427288,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
256606.0,252009.0,246273.0,251973.08333333334,252375.00694444444,252792.50752314815,253213.79981674382,253428.61646813914,253402.41784048406,253348.3693271911,252985.48343779033,252750.52372427288,Mês 10 - Mês 21,252596.48403462893,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
252009.0,246273.0,251973.08333333334,252375.00694444444,252792.50752314815,253213.79981674382,253428.61646813914,253402.41784048406,253348.3693271911,252985.48343779033,252750.52372427288,252596.48403462893,Mês 11 - Mês 22,252262.35770418134,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
246273.0,251973.08333333334,252375.00694444444,252792.50752314815,253213.79981674382,253428.61646813914,253402.41784048406,253348.3693271911,252985.48343779033,252750.52372427288,252596.48403462893,252262.35770418134,Mês 12 - Mês 23,252283.47084619646,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
251973.08333333334,252375.00694444444,252792.50752314815,253213.79981674382,253428.61646813914,253402.41784048406,253348.3693271911,252985.48343779033,252750.52372427288,252596.48403462893,252262.35770418134,252283.47084619646,Mês 13 - Mês 24,252784.34341671283,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
252375.00694444444,252792.50752314815,253213.79981674382,253428.61646813914,253402.41784048406,253348.3693271911,252985.48343779033,252750.52372427288,252596.48403462893,252262.35770418134,252283.47084619646,252784.34341671283,Mês 14 - Mês 25,252851.94842366112,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
252792.50752314815,253213.79981674382,253428.61646813914,253402.41784048406,253348.3693271911,252985.48343779033,252750.52372427288,252596.48403462893,252262.35770418134,252283.47084619646,252784.34341671283,252851.94842366112,Mês 15 - Mês 26,252891.69354692916,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
253213.79981674382,253428.61646813914,253402.41784048406,253348.3693271911,252985.48343779033,252750.52372427288,252596.48403462893,252262.35770418134,252283.47084619646,252784.34341671283,252851.94842366112,252891.69354692916,Mês 16 - Mês 27,252899.95904891094,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
253428.61646813914,253402.41784048406,253348.3693271911,252985.48343779033,252750.52372427288,252596.48403462893,252262.35770418134,252283.47084619646,252784.34341671283,252851.94842366112,252891.69354692916,252899.95904891094,Mês 17 - Mês 28,252873.8056515915,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
253402.41784048406,253348.3693271911,252985.48343779033,252750.52372427288,252596.48403462893,252262.35770418134,252283.47084619646,252784.34341671283,252851.94842366112,252891.69354692916,252899.95904891094,252873.8056515915,Mês 18 - Mês 29,252827.57141687922,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
253348.3693271911,252985.48343779033,252750.52372427288,252596.48403462893,252262.35770418134,252283.47084619646,252784.34341671283,252851.94842366112,252891.69354692916,252899.95904891094,252873.8056515915,252827.57141687922,Mês 19 - Mês 30,252779.6675482455,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
