Valores reais,Valores preditos,Erros relativos,Meses,Marca,Modelo,Ano-modelo
243287.0,250542.32408507433,7255.324085074331,Mês 32,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
240874.0,250515.48097459806,9641.48097459806,Mês 33,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
236484.0,250511.25898400717,14027.258984007174,Mês 34,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
239851.0,250531.23971043862,10680.239710438618,Mês 35,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
234274.0,250546.75709277528,16272.757092775282,Mês 36,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
294005.0,279772.5,-14232.5,Mês 14,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
293044.0,279928.9583333333,-13115.041666666686,Mês 15,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
297039.0,280479.4548611111,-16559.545138888876,Mês 16,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
298510.0,281155.9927662037,-17354.007233796292,Mês 17,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
298400.0,281968.8254967207,-16431.174503279326,Mês 18,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
302473.0,282553.0609547807,-19919.939045219275,Mês 19,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
293800.0,283257.5660343458,-10542.433965654229,Mês 20,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
291230.0,283709.6965372079,-7520.3034627920715,Mês 21,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
287000.0,283879.2545819753,-3120.745418024715,Mês 22,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
285000.0,283973.69246380654,-1026.3075361934607,Mês 23,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
284608.0,283757.08350245707,-850.9164975429303,Mês 24,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
278694.0,283211.09046099515,4517.090460995154,Mês 25,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
271707.0,282303.9313327448,10596.931332744774,Mês 26,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
268950.0,282514.88394380687,13564.883943806868,Mês 27,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
271707.0,282730.37774467963,11023.37774467963,Mês 28,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
271707.0,282917.9546516437,11210.954651643697,Mês 29,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
268242.0,283064.78480876365,14822.784808763652,Mês 30,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
266879.0,283156.11475143395,16277.114751433954,Mês 31,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
262075.0,283206.36923448835,21131.369234488346,Mês 32,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
259956.0,283202.10283450026,23246.102834500256,Mês 33,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
254239.0,283159.8033592746,28920.803359274578,Mês 34,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
252245.0,283099.8490907162,30854.84909071622,Mês 35,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
248299.0,283027.02880962536,34728.028809625364,Mês 36,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
300855.0,313145.0833333333,12290.083333333314,Mês 14,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
299892.0,313715.59027777775,13823.590277777752,Mês 15,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
298962.0,314435.3894675926,15473.389467592584,Mês 16,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
307631.0,314880.25525655865,7249.255256558652,Mês 17,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
306369.0,315276.9431946052,8907.943194605177,Mês 18,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
313759.0,315356.35512748896,1597.3551274889614,Mês 19,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
318387.0,315088.80138811306,-3298.198611886939,Mês 20,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
314327.0,314446.3681704558,119.36817045579664,Mês 21,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
311110.0,313973.48218466045,2863.4821846604464,Mês 22,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
308847.0,313450.0223667155,4603.022366715479,Mês 23,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
304034.0,312987.85756394174,8953.85756394174,Mês 24,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
300774.0,313217.3456942702,12443.345694270218,Mês 25,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
293340.0,314164.45783545944,20824.45783545944,Mês 26,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
288127.0,314249.40571063664,26122.405710636638,Mês 27,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
285947.0,314293.8903300415,28346.890330041526,Mês 28,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
280655.0,314282.0987352456,33627.098735245585,Mês 29,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
275447.0,314232.25235846953,38785.25235846953,Mês 30,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
267963.0,314145.19478879153,46182.19478879153,Mês 31,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
262578.0,314044.26476056676,51466.26476056676,Mês 32,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
260762.0,313957.22004160454,53195.22004160454,Mês 33,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
261439.0,313916.4576975336,52477.457697533595,Mês 34,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
252753.0,313911.7056569397,61158.70565693971,Mês 35,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
252947.0,313950.1792644584,61003.17926445842,Mês 36,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
131572.0,132070.0,498.0,Mês 13,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
128612.0,132105.0,3493.0,Mês 14,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
