Indice,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Range,Y,Marca,Modelo,Ano-modelo
35,246937.0,248526.89393939395,249025.5555555556,248833.0637434956,248599.5645597388,248181.88093244965,248011.15588880333,246757.0582124665,246019.40573998095,245957.60888822156,246185.60373405807,245860.06918510297,Mês 12 - Mês 23,245722.4502228268,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
48,277895.0,273323.0,272361.0,271402.0,274958.0,274099.0,277832.0,281675.0,282746.0,286573.0,290309.0,294097.0,Mês 2 - Mês 13,291390.3181818182,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
49,273323.0,272361.0,271402.0,274958.0,274099.0,277832.0,281675.0,282746.0,286573.0,290309.0,294097.0,291390.3181818182,Mês 3 - Mês 14,294864.6666666667,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
50,272361.0,271402.0,274958.0,274099.0,277832.0,281675.0,282746.0,286573.0,290309.0,294097.0,291390.3181818182,294864.6666666667,Mês 4 - Mês 15,297913.8895775941,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
51,271402.0,274958.0,274099.0,277832.0,281675.0,282746.0,286573.0,290309.0,294097.0,291390.3181818182,294864.6666666667,297913.8895775941,Mês 5 - Mês 16,300796.29285277013,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
52,274958.0,274099.0,277832.0,281675.0,282746.0,286573.0,290309.0,294097.0,291390.3181818182,294864.6666666667,297913.8895775941,300796.29285277013,Mês 6 - Mês 17,303274.57799644745,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
53,274099.0,277832.0,281675.0,282746.0,286573.0,290309.0,294097.0,291390.3181818182,294864.6666666667,297913.8895775941,300796.29285277013,303274.57799644745,Mês 7 - Mês 18,305997.1569977398,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
54,277832.0,281675.0,282746.0,286573.0,290309.0,294097.0,291390.3181818182,294864.6666666667,297913.8895775941,300796.29285277013,303274.57799644745,305997.1569977398,Mês 8 - Mês 19,308157.9330299275,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
55,281675.0,282746.0,286573.0,290309.0,294097.0,291390.3181818182,294864.6666666667,297913.8895775941,300796.29285277013,303274.57799644745,305997.1569977398,308157.9330299275,Mês 9 - Mês 20,310380.8999971895,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
56,282746.0,286573.0,290309.0,294097.0,291390.3181818182,294864.6666666667,297913.8895775941,300796.29285277013,303274.57799644745,305997.1569977398,308157.9330299275,310380.8999971895,Mês 10 - Mês 21,312781.58627036045,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
57,286573.0,290309.0,294097.0,291390.3181818182,294864.6666666667,297913.8895775941,300796.29285277013,303274.57799644745,305997.1569977398,308157.9330299275,310380.8999971895,312781.58627036045,Mês 11 - Mês 22,314904.8694832009,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
58,290309.0,294097.0,291390.3181818182,294864.6666666667,297913.8895775941,300796.29285277013,303274.57799644745,305997.1569977398,308157.9330299275,310380.8999971895,312781.58627036045,314904.8694832009,Mês 12 - Mês 23,317182.447724396,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
