,Valores reais,Valores preditos,Erros relativos,Meses,Marca,Modelo,Ano-modelo
28,251887.0,248181.88093244965,-3705.119067550346,Mês 17,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
29,244598.0,248011.15588880333,3413.1558888033323,Mês 18,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
30,249118.0,246757.0582124665,-2360.941787533462,Mês 19,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
31,249212.0,246019.40573998095,-3192.5942600190174,Mês 20,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
32,252689.0,245957.60888822156,-6731.391111778474,Mês 21,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
33,251887.0,246185.60373405807,-5701.396265941876,Mês 22,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
34,247252.0,245860.06918510297,-1391.9308148970304,Mês 23,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
35,242618.0,245722.4502228268,3104.450222826796,Mês 24,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
48,294005.0,291390.3181818182,-2614.6818181818235,Mês 14,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
49,293044.0,294864.6666666667,1820.666666666686,Mês 15,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
50,297039.0,297913.8895775941,874.88957759412,Mês 16,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
51,298510.0,300796.29285277013,2286.2928527701297,Mês 17,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
52,298400.0,303274.57799644745,4874.57799644745,Mês 18,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
53,302473.0,305997.1569977398,3524.156997739803,Mês 19,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
54,293800.0,308157.9330299275,14357.933029927488,Mês 20,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
55,291230.0,310380.8999971895,19150.899997189525,Mês 21,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
56,287000.0,312781.58627036045,25781.58627036045,Mês 22,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
57,285000.0,314904.8694832009,29904.86948320089,Mês 23,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
58,284608.0,317182.447724396,32574.447724396014,Mês 24,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
59,278694.0,319723.89131190465,41029.89131190465,Mês 25,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
71,300855.0,316305.9242424242,15450.924242424197,Mês 14,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
72,299892.0,315907.3383838384,16015.338383838418,Mês 15,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
73,298962.0,314662.0303795531,15700.030379553093,Mês 16,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
74,307631.0,313361.89220487705,5730.892204877047,Mês 17,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
75,306369.0,311592.41871229897,5223.418712298968,Mês 18,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
76,313759.0,309977.5195613671,-3781.4804386328906,Mês 19,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
77,318387.0,308848.5137822929,-9538.486217707105,Mês 20,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
78,314327.0,308631.088521041,-5695.911478959024,Mês 21,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
79,311110.0,308407.40724320675,-2702.592756793252,Mês 22,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
80,308847.0,308659.8584854412,-187.14151455881077,Mês 23,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
81,304034.0,309267.9264791837,5233.92647918372,Mês 24,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
82,300774.0,308689.9023578658,7915.902357865823,Mês 25,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
94,131572.0,131168.5,-403.5,Mês 13,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
95,128612.0,130778.90909090907,2166.9090909090883,Mês 14,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
96,128380.0,130272.85606060606,1892.856060606064,Mês 15,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
97,127355.0,129544.25918273648,2189.2591827364668,Mês 16,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
98,126636.0,128974.33352464034,2338.333524640344,Mês 17,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
99,123831.0,128693.2238964484,4862.223896448413,Mês 18,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
100,125992.0,128929.09286834528,2937.0928683452657,Mês 19,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
101,124359.0,128587.92313861151,4228.923138611528,Mês 20,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
102,124123.0,128242.8138231327,4119.813823132703,Mês 21,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
103,123752.0,127899.11095679978,4147.110956799777,Mês 22,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
104,123033.0,127569.8640824559,4536.864082455897,Mês 23,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
105,123869.0,127265.5298731732,3396.529873173189,Mês 24,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
118,139663.0,143131.80303030304,3468.803030303039,Mês 13,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
119,139555.0,143565.1616161616,4010.161616161611,Mês 14,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
120,137357.0,143964.96686562593,6607.966865625931,Mês 15,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
121,139279.0,144012.39682175286,4733.39682175286,Mês 16,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
122,138262.0,144454.28978451484,6192.28978451484,Mês 17,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
123,137613.0,144978.1290308451,7365.129030845099,Mês 18,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
124,136724.0,145472.462126656,8748.462126655999,Mês 19,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
125,138534.0,145926.14281360782,7392.1428136078175,Mês 20,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
126,137962.0,146235.39302681683,8273.393026816833,Mês 21,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
127,137156.0,146450.6898498709,9294.68984987089,Mês 22,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
128,134508.0,146858.17380969375,12350.173809693748,Mês 23,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
129,132048.0,147466.66652052398,15418.666520523984,Mês 24,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
142,298400.0,349978.68181818177,51578.681818181765,Mês 18,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
143,302473.0,365834.56060606055,63361.56060606055,Mês 19,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
144,293800.0,377318.9892102846,83518.9892102846,Mês 20,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
145,291230.0,382866.1867156412,91636.18671564118,Mês 21,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
146,287000.0,380048.7535768613,93048.75357686129,Mês 22,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
147,285000.0,393420.7584805044,108420.7584805044,Mês 23,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
148,284608.0,407639.0337955045,123031.03379550448,Mês 24,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
149,278694.0,422532.5027694211,143838.5027694211,Mês 25,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
150,271707.0,437860.793198484,166153.79319848394,Mês 26,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
151,268950.0,452441.02122044255,183491.02122044252,Mês 27,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
152,271707.0,465138.5770740321,193431.5770740321,Mês 28,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
153,271707.0,475670.75664152525,203963.75664152525,Mês 29,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
161,131572.0,131168.5,-403.5,Mês 13,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
162,128612.0,130778.90909090907,2166.9090909090883,Mês 14,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
163,128380.0,130272.85606060606,1892.856060606064,Mês 15,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
164,127355.0,129544.25918273648,2189.2591827364668,Mês 16,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
165,126636.0,128974.33352464034,2338.333524640344,Mês 17,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
166,123831.0,128693.2238964484,4862.223896448413,Mês 18,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
167,125992.0,128929.09286834528,2937.0928683452657,Mês 19,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
168,124359.0,128587.92313861151,4228.923138611528,Mês 20,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
169,124123.0,128242.8138231327,4119.813823132703,Mês 21,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
170,123752.0,127899.11095679978,4147.110956799777,Mês 22,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
171,123033.0,127569.8640824559,4536.864082455897,Mês 23,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
172,123869.0,127265.5298731732,3396.529873173189,Mês 24,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
185,139663.0,143131.80303030304,3468.803030303039,Mês 13,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
186,139555.0,143565.1616161616,4010.161616161611,Mês 14,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
187,137357.0,143964.96686562593,6607.966865625931,Mês 15,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
188,139279.0,144012.39682175286,4733.39682175286,Mês 16,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
189,138262.0,144454.28978451484,6192.28978451484,Mês 17,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
190,137613.0,144978.1290308451,7365.129030845099,Mês 18,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
191,136724.0,145472.462126656,8748.462126655999,Mês 19,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
192,138534.0,145926.14281360782,7392.1428136078175,Mês 20,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
193,137962.0,146235.39302681683,8273.393026816833,Mês 21,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
194,137156.0,146450.6898498709,9294.68984987089,Mês 22,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
195,134508.0,146858.17380969375,12350.173809693748,Mês 23,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
196,132048.0,147466.66652052398,15418.666520523984,Mês 24,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
209,160025.0,158978.36363636362,-1046.6363636363822,Mês 18,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2017.0
210,160020.0,160414.2424242424,394.2424242424022,Mês 19,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2017.0
211,160590.0,161353.8370064279,763.8370064279006,Mês 20,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2017.0
212,160885.0,162178.5430058157,1293.5430058157071,Mês 21,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2017.0
213,159979.0,162881.05235319212,2902.052353192121,Mês 22,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2017.0
214,159600.0,163255.66134639937,3655.661346399371,Mês 23,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2017.0
215,159784.0,163684.83459401547,3900.8345940154686,Mês 24,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2017.0
216,157522.0,164275.5809841824,6753.580984182394,Mês 25,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2017.0
217,155452.0,165163.78065922242,9711.780659222422,Mês 26,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2017.0
218,153969.0,166050.0053327221,12081.005332722096,Mês 27,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2017.0
219,152769.0,166768.01183712058,13999.011837120575,Mês 28,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2017.0
220,151261.0,167332.80814604336,16071.80814604336,Mês 29,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2017.0
228,163697.0,168575.28787878787,4878.287878787873,Mês 13,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2018.0
229,163867.0,169136.58080808082,5269.58080808082,Mês 14,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2018.0
230,164015.0,169589.06435567798,5574.064355677983,Mês 15,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2018.0
231,164126.0,169866.36450362206,5740.364503622055,Mês 16,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2018.0
232,166998.0,170000.8375331985,3002.8375331985008,Mês 17,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2018.0
233,163577.0,170220.5728830752,6643.572883075191,Mês 18,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2018.0
234,162500.0,170373.00012837144,7873.000128371437,Mês 19,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2018.0
235,161508.0,170401.43768802058,8893.437688020582,Mês 20,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2018.0
236,160538.0,170729.8241253541,10191.824125354093,Mês 21,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2018.0
237,159590.0,170975.25887416146,11385.25887416146,Mês 22,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2018.0
238,160325.0,171655.42229111586,11330.422291115858,Mês 23,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2018.0
239,159395.0,172196.21932247185,12801.21932247185,Mês 24,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2018.0
252,141697.0,146921.74242424243,5224.742424242431,Mês 13,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2015.0
253,138508.0,145505.8383838384,6997.838383838389,Mês 14,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2015.0
254,135369.0,144162.15985613715,8793.15985613715,Mês 15,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2015.0
255,132320.0,143002.26249872465,10682.262498724653,Mês 16,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2015.0
256,129185.0,141680.4829984108,12495.482998410793,Mês 17,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2015.0
257,129733.0,140274.56809653522,10541.568096535222,Mês 18,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2015.0
258,124673.0,138770.85657592482,14097.856575924816,Mês 19,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2015.0
259,124558.0,137392.01842284424,12834.018422844238,Mês 20,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2015.0
260,122922.0,136373.68013195228,13451.680131952278,Mês 21,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2015.0
261,121423.0,135205.56157336105,13782.561573361048,Mês 22,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2015.0
262,120032.0,134216.66045893857,14184.660458938568,Mês 23,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2015.0
263,118535.0,133065.85768940422,14530.85768940422,Mês 24,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2015.0
276,141331.0,144659.9090909091,3328.9090909090883,Mês 13,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2016.0
277,143985.0,144817.43939393942,832.4393939394213,Mês 14,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2016.0
278,141913.0,144625.45362718092,2712.4536271809197,Mês 15,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2016.0
279,139990.0,144473.48293541477,4483.482935414766,Mês 16,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2016.0
280,138093.0,144322.77412091536,6229.774120915361,Mês 17,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2016.0
281,141086.0,143931.973749973,2845.9737499729963,Mês 18,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2016.0
282,140092.0,144211.50776503858,4119.507765038579,Mês 19,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2016.0
283,138727.0,143603.0694631575,4876.069463157503,Mês 20,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2016.0
284,139562.0,142976.47713193556,3414.477131935564,Mês 21,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2016.0
285,137286.0,142570.1841995567,5284.184199556708,Mês 22,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2016.0
286,137753.0,142643.43860190304,4890.438601903035,Mês 23,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2016.0
287,135139.0,142584.7542808091,7445.754280809109,Mês 24,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2016.0
300,180460.0,179046.83333333334,-1413.166666666657,Mês 20,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2017.0
301,180596.0,178331.89898989903,-2264.1010101009742,Mês 21,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2017.0
302,177296.0,177692.1759259259,396.1759259258979,Mês 22,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2017.0
303,176767.0,177198.8527956331,431.85279563310905,Mês 23,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2017.0
304,173380.0,176884.7321404279,3504.732140427892,Mês 24,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2017.0
305,170021.0,176203.50220035273,6182.502200352727,Mês 25,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2017.0
306,165090.0,175513.7380920512,10423.738092051208,Mês 26,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2017.0
307,160302.0,174769.24190823926,14467.24190823926,Mês 27,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2017.0
308,155653.0,173997.81950745732,18344.81950745732,Mês 28,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2017.0
309,154843.0,173224.18470452513,18381.18470452513,Mês 29,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2017.0
310,154053.0,172540.149535125,18487.149535125005,Mês 30,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2017.0
311,150201.0,171931.42758026466,21730.42758026466,Mês 31,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2017.0
317,197695.0,204989.89393939392,7294.893939393922,Mês 13,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2018.0
318,196963.0,206159.28282828283,9196.282828282829,Mês 14,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2018.0
319,196253.0,207088.9425313744,10835.94253137437,Mês 15,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2018.0
320,190757.0,207643.2941281502,16886.294128150214,Mês 16,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2018.0
321,190222.0,208278.9776572737,18056.977657273703,Mês 17,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2018.0
322,189689.0,209125.7089933103,19436.708993310316,Mês 18,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2018.0
323,187100.0,210364.92754784663,23264.92754784666,Mês 19,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2018.0
324,187254.0,211354.6109693508,24100.61096935079,Mês 20,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2018.0
325,187459.0,212359.5709458481,24900.5709458481,Mês 21,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2018.0
326,187458.0,213014.7322340861,25556.732234086143,Mês 22,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2018.0
327,186451.0,213872.9364845013,27421.93648450132,Mês 23,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2018.0
328,184959.0,215136.53917138427,30177.53917138427,Mês 24,Audi,Q3 2.0 TFSI Quat. 211/220cv S-tronic 5p,2018.0
341,153330.0,149511.7272727273,-3818.272727272706,Mês 13,BMW,X1 XDRIVE 28i Sport 2.0 ActiveFlex Aut.,2015.0
342,153259.0,148211.72727272726,-5047.272727272735,Mês 14,BMW,X1 XDRIVE 28i Sport 2.0 ActiveFlex Aut.,2015.0
343,149704.0,146936.83057851242,-2767.169421487575,Mês 15,BMW,X1 XDRIVE 28i Sport 2.0 ActiveFlex Aut.,2015.0
344,153124.0,145653.07162534437,-7470.928374655632,Mês 16,BMW,X1 XDRIVE 28i Sport 2.0 ActiveFlex Aut.,2015.0
345,156731.0,144402.82496452128,-12328.175035478722,Mês 17,BMW,X1 XDRIVE 28i Sport 2.0 ActiveFlex Aut.,2015.0
346,153022.0,143269.32616105967,-9752.673838940333,Mês 18,BMW,X1 XDRIVE 28i Sport 2.0 ActiveFlex Aut.,2015.0
347,155914.0,142329.38116714777,-13584.618832852257,Mês 19,BMW,X1 XDRIVE 28i Sport 2.0 ActiveFlex Aut.,2015.0
348,151810.0,141192.53059218678,-10617.469407813216,Mês 20,BMW,X1 XDRIVE 28i Sport 2.0 ActiveFlex Aut.,2015.0
349,149902.0,140129.545833126,-9772.454166873998,Mês 21,BMW,X1 XDRIVE 28i Sport 2.0 ActiveFlex Aut.,2015.0
350,150732.0,138771.04203655163,-11960.957963448369,Mês 22,BMW,X1 XDRIVE 28i Sport 2.0 ActiveFlex Aut.,2015.0
351,148745.0,137807.63337597702,-10937.36662402298,Mês 23,BMW,X1 XDRIVE 28i Sport 2.0 ActiveFlex Aut.,2015.0
352,146550.0,136601.8138571858,-9948.1861428142,Mês 24,BMW,X1 XDRIVE 28i Sport 2.0 ActiveFlex Aut.,2015.0
365,51927.0,54223.833333333336,2296.833333333336,Mês 13,CAOA Chery,Tiggo 2.0 16V Aut. 5p,2015.0
366,50703.0,54289.58080808081,3586.580808080813,Mês 14,CAOA Chery,Tiggo 2.0 16V Aut. 5p,2015.0
367,49954.0,54321.10016835018,4367.100168350182,Mês 15,CAOA Chery,Tiggo 2.0 16V Aut. 5p,2015.0
368,49152.0,54260.38746046323,5108.387460463229,Mês 16,CAOA Chery,Tiggo 2.0 16V Aut. 5p,2015.0
369,49494.0,54254.17505441621,4760.175054416213,Mês 17,CAOA Chery,Tiggo 2.0 16V Aut. 5p,2015.0
370,49275.0,54141.29847693856,4866.298476938558,Mês 18,CAOA Chery,Tiggo 2.0 16V Aut. 5p,2015.0
371,47353.0,54006.00053782821,6653.000537828208,Mês 19,CAOA Chery,Tiggo 2.0 16V Aut. 5p,2015.0
372,47173.0,53969.27153672932,6796.27153672932,Mês 20,CAOA Chery,Tiggo 2.0 16V Aut. 5p,2015.0
373,47113.0,53990.935874453775,6877.935874453775,Mês 21,CAOA Chery,Tiggo 2.0 16V Aut. 5p,2015.0
374,46895.0,54063.991133689575,7168.991133689575,Mês 22,CAOA Chery,Tiggo 2.0 16V Aut. 5p,2015.0
375,46317.0,54231.20409110458,7914.204091104577,Mês 23,CAOA Chery,Tiggo 2.0 16V Aut. 5p,2015.0
376,46174.0,54288.68540703564,8114.685407035642,Mês 24,CAOA Chery,Tiggo 2.0 16V Aut. 5p,2015.0
389,49296.0,49939.333333333336,643.3333333333358,Mês 13,CAOA Chery,Tiggo 2.0 16V Mec. 5p,2015.0
390,48149.0,50290.444444444445,2141.4444444444453,Mês 14,CAOA Chery,Tiggo 2.0 16V Mec. 5p,2015.0
391,47540.0,50624.00168350169,3084.001683501687,Mês 15,CAOA Chery,Tiggo 2.0 16V Mec. 5p,2015.0
