,Valores reais,Valores preditos,Erros relativos,Meses,Marca,Modelo,Ano-modelo
0,240776.0,254788.65151515152,14012.65151515152,Mês 13,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
1,234998.0,254704.095959596,19706.09595959596,Mês 14,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
2,229703.0,254289.7498469544,24586.749846954364,Mês 15,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
3,224621.0,253482.60218345065,28861.602183450654,Mês 16,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
4,219284.0,252723.4924269477,33439.49242694772,Mês 17,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
5,214449.0,252241.0156826658,37792.015682665806,Mês 18,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
6,206085.0,251709.38794361043,45624.38794361043,Mês 19,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
7,205017.0,251857.4896392943,46840.48963929431,Mês 20,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
8,205945.0,251924.78941792072,45979.78941792072,Mês 21,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
9,203825.0,251938.13656339413,48113.13656339413,Mês 22,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
10,203212.0,252503.21505654405,49291.21505654405,Mês 23,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
11,205752.0,252493.70744604428,46741.70744604428,Mês 24,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
24,246443.0,248526.89393939395,2083.893939393951,Mês 13,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
25,249238.0,249025.5555555556,-212.444444444438,Mês 14,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
26,245138.0,248833.0637434956,3695.063743495557,Mês 15,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
27,248490.0,248599.5645597388,109.56455973876292,Mês 16,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
