Indice,Valores reais,Valores preditos,Erros relativos,Meses,Marca,Modelo,Ano-modelo
0,240776.0,254788.65151515152,0.05819787485111273,Mês 13,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
1,234998.0,254704.095959596,0.08385644115948215,Mês 14,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
2,229703.0,254289.7498469544,0.10703712988926742,Mês 15,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
3,224621.0,253482.60218345065,0.12849022212282313,Mês 16,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
4,219284.0,252723.4924269477,0.15249399147656778,Mês 17,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
5,214449.0,252241.0156826658,0.17622845377066718,Mês 18,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
6,206085.0,251709.38794361043,0.22138626267613087,Mês 19,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
7,205017.0,251857.4896392943,0.22847124696632135,Mês 20,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
8,205945.0,251924.78941792072,0.22326247016397932,Mês 21,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
9,203825.0,251938.13656339413,0.23605120354909423,Mês 22,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
10,203212.0,252503.21505654405,0.24256055280467714,Mês 23,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
11,205752.0,252493.70744604428,0.2271749846710811,Mês 24,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
12,205340.0,251241.8390385653,0.22354065958198738,Mês 25,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
13,205875.0,251096.2720539567,0.2196540233343373,Mês 26,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
14,202488.0,251045.465463145,0.23980416352151732,Mês 27,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
15,198641.0,251053.82373812236,0.26385702719037035,Mês 28,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
16,199090.0,251041.22243600697,0.2609434046712892,Mês 29,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
17,197273.0,250973.7964384129,0.2722156424772416,Mês 30,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
18,193115.0,250858.01837424003,0.29900845803919957,Mês 31,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
19,190657.0,250648.47897634265,0.3146565768702049,Mês 32,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
20,188094.0,250439.2072404748,0.3314577139115272,Mês 33,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
21,188094.0,250229.4090000695,0.3303423235194611,Mês 34,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
22,184572.0,250020.03568814977,0.3545935227886666,Mês 35,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
23,187829.0,249938.40584186403,0.33066994895284557,Mês 36,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
24,246443.0,248526.89393939395,0.008455886105078865,Mês 13,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
