Indice,Valores reais,Valores preditos,Erros relativos,Meses,Marca,Modelo,Ano-modelo
76,313759.0,315356.35512748896,0.0050910256836902,Mês 19,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
77,318387.0,315088.80138811306,0.010359086934727,Mês 20,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
78,314327.0,314446.3681704558,0.0003797579287041,Mês 21,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
79,311110.0,313973.48218466045,0.0092040827509898,Mês 22,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
80,308847.0,313450.0223667155,0.0149038921107068,Mês 23,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
81,304034.0,312987.85756394174,0.0294501850580584,Mês 24,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
82,300774.0,313217.3456942702,0.0413710815903975,Mês 25,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
94,131572.0,132070.0,0.0037849998479919,Mês 13,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
95,128612.0,132105.0,0.0271592075389543,Mês 14,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
96,128380.0,132146.25,0.0293367346938775,Mês 15,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
97,127355.0,132226.9375,0.0382547799458207,Mês 16,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
98,126636.0,132172.765625,0.0437218928661676,Mês 17,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
99,123831.0,131985.49609375,0.0658518149231614,Mês 18,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
100,125992.0,131639.9541015625,0.0448278787666081,Mês 19,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
101,124359.0,131656.03361002603,0.0586771653842989,Mês 20,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
102,124123.0,131675.28641086153,0.0608451810773308,Mês 21,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
103,123752.0,131701.06027843335,0.0642337924108971,Mês 22,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
104,123033.0,131734.06530163612,0.0707213942733747,Mês 23,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
105,123869.0,131777.7374101058,0.06384759229594,Mês 24,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
118,139663.0,140360.66666666666,0.0049953578733569,Mês 13,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
119,139555.0,140553.30555555556,0.0071534918530727,Mês 14,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
120,137357.0,140741.16435185185,0.0246377276138227,Mês 15,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
121,139279.0,141041.4280478395,0.012653939559011,Mês 16,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
122,138262.0,141096.04705182614,0.0204976569977733,Mês 17,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
123,137613.0,141116.134306145,0.0254564198596425,Mês 18,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
124,136724.0,141153.8121649904,0.0323996676881191,Mês 19,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
125,138534.0,141198.29651207294,0.0192320766892815,Mês 20,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
126,137962.0,141275.987888079,0.0240210194697017,Mês 21,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
127,137156.0,141336.48687875224,0.0304797958438,Mês 22,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
128,134508.0,141253.19411864827,0.0501471594154122,Mês 23,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
129,132048.0,141063.87696186895,0.0682772700977595,Mês 24,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
142,298400.0,246018.25,0.1755420576407506,Mês 18,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
143,302473.0,253403.0208333333,0.1622292871319644,Mês 19,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
144,293800.0,261758.02256944444,0.1090605086131911,Mês 20,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
145,291230.0,270847.60778356483,0.0699872685383894,Mês 21,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
146,287000.0,280695.8250988619,0.0219657662060561,Mês 22,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
147,285000.0,280524.9771904337,0.0157018344195308,Mês 23,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
148,284608.0,280020.9752896365,0.0161169914772721,Mês 24,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
149,278694.0,279163.6398971062,0.0016851453461725,Mês 25,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
150,271707.0,277919.1932218651,0.022863574445506,Mês 26,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
151,268950.0,276578.7093236872,0.0283647864795954,Mês 27,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
152,271707.0,275206.6017673277,0.0128800574417578,Mês 28,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
153,271707.0,273387.2352479384,0.0061839969082078,Mês 29,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
161,131572.0,132070.0,0.0037849998479919,Mês 13,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
162,128612.0,132105.0,0.0271592075389543,Mês 14,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
163,128380.0,132146.25,0.0293367346938775,Mês 15,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
164,127355.0,132226.9375,0.0382547799458207,Mês 16,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
165,126636.0,132172.765625,0.0437218928661676,Mês 17,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
166,123831.0,131985.49609375,0.0658518149231614,Mês 18,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
167,125992.0,131639.9541015625,0.0448278787666081,Mês 19,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
168,124359.0,131656.03361002603,0.0586771653842989,Mês 20,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
169,124123.0,131675.28641086153,0.0608451810773308,Mês 21,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
170,123752.0,131701.06027843335,0.0642337924108971,Mês 22,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
171,123033.0,131734.06530163612,0.0707213942733747,Mês 23,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
172,123869.0,131777.7374101058,0.06384759229594,Mês 24,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
185,139663.0,140360.66666666666,0.0049953578733569,Mês 13,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
186,139555.0,140553.30555555556,0.0071534918530727,Mês 14,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
187,137357.0,140741.16435185185,0.0246377276138227,Mês 15,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
188,139279.0,141041.4280478395,0.012653939559011,Mês 16,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
189,138262.0,141096.04705182614,0.0204976569977733,Mês 17,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
190,137613.0,141116.134306145,0.0254564198596425,Mês 18,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
191,136724.0,141153.8121649904,0.0323996676881191,Mês 19,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
192,138534.0,141198.29651207294,0.0192320766892815,Mês 20,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
193,137962.0,141275.987888079,0.0240210194697017,Mês 21,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
194,137156.0,141336.48687875224,0.0304797958438,Mês 22,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
195,134508.0,141253.19411864827,0.0501471594154122,Mês 23,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
196,132048.0,141063.87696186895,0.0682772700977595,Mês 24,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2016.0
209,160025.0,155732.5,0.0268239337603499,Mês 18,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2017.0
210,160020.0,155593.45833333334,0.0276624276132149,Mês 19,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2017.0
211,160590.0,155797.66319444444,0.0298420624295134,Mês 20,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2017.0
212,160885.0,156057.21846064815,0.0300076547804447,Mês 21,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2017.0
213,159979.0,156339.5699990355,0.0227494233678451,Mês 22,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2017.0
214,159600.0,156696.45083228845,0.0181926639580924,Mês 23,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2017.0
215,159784.0,156917.40506831248,0.0179404379142312,Mês 24,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2017.0
216,157522.0,156985.02215733854,0.0034089069632271,Mês 25,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2017.0
217,155452.0,156883.44067045007,0.0092082486584287,Mês 26,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2017.0
218,153969.0,156782.06072632092,0.0182703058818393,Mês 27,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2017.0
