Indice,Valores reais,Valores preditos,Erros relativos,Meses,Marca,Modelo,Ano-modelo
0,240776.0,254788.65151515152,0.0581978748511127,Mês 13,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
1,234998.0,254704.095959596,0.0838564411594821,Mês 14,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
2,229703.0,254289.7498469544,0.1070371298892674,Mês 15,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
3,224621.0,253482.60218345065,0.1284902221228231,Mês 16,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
4,219284.0,252723.4924269477,0.1524939914765677,Mês 17,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
5,214449.0,252241.0156826658,0.1762284537706671,Mês 18,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
6,206085.0,251709.38794361043,0.2213862626761308,Mês 19,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
7,205017.0,251857.4896392943,0.2284712469663213,Mês 20,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
8,205945.0,251924.78941792072,0.2232624701639793,Mês 21,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
9,203825.0,251938.13656339413,0.2360512035490942,Mês 22,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
10,203212.0,252503.21505654405,0.2425605528046771,Mês 23,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
11,205752.0,252493.70744604428,0.2271749846710811,Mês 24,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
24,246443.0,248526.89393939395,0.0084558861050788,Mês 13,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
25,249238.0,249025.5555555556,0.0008523758192747,Mês 14,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
26,245138.0,248833.0637434956,0.0150734025059174,Mês 15,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
27,248490.0,248599.5645597388,0.0004409214042367,Mês 16,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
28,251887.0,248181.88093244965,0.0147094493465337,Mês 17,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
29,244598.0,248011.15588880333,0.0139541447141977,Mês 18,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
30,249118.0,246757.0582124665,0.0094772027213348,Mês 19,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
31,249212.0,246019.40573998092,0.012810756544705,Mês 20,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
32,252689.0,245957.6088882216,0.0266390349867958,Mês 21,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
33,251887.0,246185.60373405807,0.0226347380608841,Mês 22,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
34,247252.0,245860.06918510297,0.0056296038652752,Mês 23,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
35,242618.0,245722.4502228268,0.0127956302616738,Mês 24,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
48,294005.0,291390.3181818182,0.0088933243250346,Mês 14,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
49,293044.0,294864.6666666667,0.006212946406228,Mês 15,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
50,297039.0,297913.8895775941,0.0029453693878383,Mês 16,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
51,298510.0,300796.29285277013,0.0076590159551443,Mês 17,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
52,298400.0,303274.57799644745,0.0163357171462716,Mês 18,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
53,302473.0,305997.1569977398,0.0116511457146251,Mês 19,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
54,293800.0,308157.9330299275,0.0488697516335176,Mês 20,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
55,291230.0,310380.8999971895,0.0657586786979003,Mês 21,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
56,287000.0,312781.58627036045,0.089831311046552,Mês 22,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
57,285000.0,314904.8694832009,0.1049293666077224,Mês 23,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
58,284608.0,317182.447724396,0.1144537318852457,Mês 24,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
59,278694.0,319723.89131190465,0.1472220116396644,Mês 25,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
71,300855.0,316305.9242424242,0.0513567141726884,Mês 14,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
72,299892.0,315907.3383838384,0.0534036866066397,Mês 15,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
73,298962.0,314662.0303795531,0.0525151369724349,Mês 16,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
74,307631.0,313361.89220487705,0.01862911151632,Mês 17,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
75,306369.0,311592.41871229897,0.0170494361776125,Mês 18,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
76,313759.0,309977.5195613671,0.0120521815744979,Mês 19,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
77,318387.0,308848.5137822929,0.0299587804078279,Mês 20,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
78,314327.0,308631.088521041,0.0181209742687043,Mês 21,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
79,311110.0,308407.40724320675,0.0086869363144651,Mês 22,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
80,308847.0,308659.8584854412,0.0006059359960071,Mês 23,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
81,304034.0,309267.9264791837,0.0172149380634525,Mês 24,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
82,300774.0,308689.9023578658,0.0263184396186699,Mês 25,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2018.0
94,131572.0,131168.5,0.0030667619250296,Mês 13,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
95,128612.0,130778.90909090907,0.0168484207609637,Mês 14,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
96,128380.0,130272.85606060606,0.0147441662299895,Mês 15,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
97,127355.0,129544.25918273648,0.0171902099072394,Mês 16,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
98,126636.0,128974.33352464034,0.0184649982993804,Mês 17,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
99,123831.0,128693.2238964484,0.0392649974275294,Mês 18,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
100,125992.0,128929.09286834528,0.0233117409704209,Mês 19,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
101,124359.0,128587.92313861151,0.0340057666804293,Mês 20,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
102,124123.0,128242.8138231327,0.0331913813163773,Mês 21,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
103,123752.0,127899.11095679978,0.0335114661322627,Mês 22,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
104,123033.0,127569.8640824559,0.0368751804999951,Mês 23,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
105,123869.0,127265.5298731732,0.0274203382054687,Mês 24,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
118,139663.0,143131.80303030304,0.0248369505903713,Mês 13,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
119,139555.0,143565.1616161616,0.0287353489030246,Mês 14,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
120,137357.0,143964.96686562593,0.0481079731329741,Mês 15,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
121,139279.0,144012.39682175286,0.0339850000484844,Mês 16,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
122,138262.0,144454.28978451484,0.0447866354060757,Mês 17,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
123,137613.0,144978.1290308451,0.053520590575346,Mês 18,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
124,136724.0,145472.462126656,0.0639862944812615,Mês 19,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
125,138534.0,145926.14281360782,0.05335977315033,Mês 20,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
126,137962.0,146235.39302681683,0.059968636485531,Mês 21,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
127,137156.0,146450.6898498709,0.0677672857904203,Mês 22,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
128,134508.0,146858.17380969375,0.0918173923461336,Mês 23,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
129,132048.0,147466.66652052398,0.1167656194756753,Mês 24,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2016.0
142,298400.0,349978.68181818177,0.1728508103826466,Mês 18,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
143,302473.0,365834.56060606055,0.2094784017286189,Mês 19,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
144,293800.0,377318.9892102846,0.2842715766177148,Mês 20,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
145,291230.0,382866.1867156412,0.3146522910264779,Mês 21,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
146,287000.0,380048.7535768613,0.3242116849367989,Mês 22,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
147,285000.0,393420.7584805044,0.380423713966682,Mês 23,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
148,284608.0,407639.0337955045,0.4322824157982364,Mês 24,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
149,278694.0,422532.5027694211,0.5161162521239104,Mês 25,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
150,271707.0,437860.793198484,0.6115182648900617,Mês 26,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
151,268950.0,452441.02122044255,0.6822495676536254,Mês 27,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
152,271707.0,465138.5770740321,0.7119123801522673,Mês 28,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
153,271707.0,475670.75664152525,0.7506753842982523,Mês 29,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2017.0
161,131572.0,131168.5,0.0030667619250296,Mês 13,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
162,128612.0,130778.90909090907,0.0168484207609637,Mês 14,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
163,128380.0,130272.85606060606,0.0147441662299895,Mês 15,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
164,127355.0,129544.25918273648,0.0171902099072394,Mês 16,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
165,126636.0,128974.33352464034,0.0184649982993804,Mês 17,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
166,123831.0,128693.2238964484,0.0392649974275294,Mês 18,Audi,Q3 2.0 TFSI Quat. 170/180cv S-tronic 5p,2015.0
