X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Range,Y,Marca,Modelo,Ano-modelo
247150.0,247365.0,247737.0,250636.0,253743.0,254051.0,257703.0,255805.0,254599.0,256606.0,252009.0,246273.0,Mês 1 - Mês 12,254788.65151515152,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
247365.0,247737.0,250636.0,253743.0,254051.0,257703.0,255805.0,254599.0,256606.0,252009.0,246273.0,254788.65151515152,Mês 2 - Mês 13,254704.09595959596,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
247737.0,250636.0,253743.0,254051.0,257703.0,255805.0,254599.0,256606.0,252009.0,246273.0,254788.65151515152,254704.09595959596,Mês 3 - Mês 14,254289.74984695436,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
250636.0,253743.0,254051.0,257703.0,255805.0,254599.0,256606.0,252009.0,246273.0,254788.65151515152,254704.09595959596,254289.74984695436,Mês 4 - Mês 15,253482.60218345065,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
253743.0,254051.0,257703.0,255805.0,254599.0,256606.0,252009.0,246273.0,254788.65151515152,254704.09595959596,254289.74984695436,253482.60218345065,Mês 5 - Mês 16,252723.49242694772,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
254051.0,257703.0,255805.0,254599.0,256606.0,252009.0,246273.0,254788.65151515152,254704.09595959596,254289.74984695436,253482.60218345065,252723.49242694772,Mês 6 - Mês 17,252241.0156826658,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
257703.0,255805.0,254599.0,256606.0,252009.0,246273.0,254788.65151515152,254704.09595959596,254289.74984695436,253482.60218345065,252723.49242694772,252241.0156826658,Mês 7 - Mês 18,251709.38794361043,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
255805.0,254599.0,256606.0,252009.0,246273.0,254788.65151515152,254704.09595959596,254289.74984695436,253482.60218345065,252723.49242694772,252241.0156826658,251709.38794361043,Mês 8 - Mês 19,251857.4896392943,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
254599.0,256606.0,252009.0,246273.0,254788.65151515152,254704.09595959596,254289.74984695436,253482.60218345065,252723.49242694772,252241.0156826658,251709.38794361043,251857.4896392943,Mês 9 - Mês 20,251924.78941792072,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
256606.0,252009.0,246273.0,254788.65151515152,254704.09595959596,254289.74984695436,253482.60218345065,252723.49242694772,252241.0156826658,251709.38794361043,251857.4896392943,251924.78941792072,Mês 10 - Mês 21,251938.13656339413,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
252009.0,246273.0,254788.65151515152,254704.09595959596,254289.74984695436,253482.60218345065,252723.49242694772,252241.0156826658,251709.38794361043,251857.4896392943,251924.78941792072,251938.13656339413,Mês 11 - Mês 22,252503.21505654405,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
246273.0,254788.65151515152,254704.09595959596,254289.74984695436,253482.60218345065,252723.49242694772,252241.0156826658,251709.38794361043,251857.4896392943,251924.78941792072,251938.13656339413,252503.21505654405,Mês 12 - Mês 23,252493.70744604428,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
254788.65151515152,254704.09595959596,254289.74984695436,253482.60218345065,252723.49242694772,252241.0156826658,251709.38794361043,251857.4896392943,251924.78941792072,251938.13656339413,252503.21505654405,252493.70744604428,Mês 13 - Mês 24,251241.83903856526,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
254704.09595959596,254289.74984695436,253482.60218345065,252723.49242694772,252241.0156826658,251709.38794361043,251857.4896392943,251924.78941792072,251938.13656339413,252503.21505654405,252493.70744604428,251241.83903856526,Mês 14 - Mês 25,251096.2720539567,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
254289.74984695436,253482.60218345065,252723.49242694772,252241.0156826658,251709.38794361043,251857.4896392943,251924.78941792072,251938.13656339413,252503.21505654405,252493.70744604428,251241.83903856526,251096.2720539567,Mês 15 - Mês 26,251045.465463145,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
253482.60218345065,252723.49242694772,252241.0156826658,251709.38794361043,251857.4896392943,251924.78941792072,251938.13656339413,252503.21505654405,252493.70744604428,251241.83903856526,251096.2720539567,251045.465463145,Mês 16 - Mês 27,251053.82373812233,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
