Indice,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Range,Y,Marca,Modelo,Ano-modelo
0,247150.0,247365.0,247737.0,250636.0,253743.0,254051.0,257703.0,255805.0,254599.0,256606.0,252009.0,246273.0,Mês 1 - Mês 12,251973.0833333333,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
1,247365.0,247737.0,250636.0,253743.0,254051.0,257703.0,255805.0,254599.0,256606.0,252009.0,246273.0,251973.0833333333,Mês 2 - Mês 13,252375.00694444444,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
2,247737.0,250636.0,253743.0,254051.0,257703.0,255805.0,254599.0,256606.0,252009.0,246273.0,251973.0833333333,252375.00694444444,Mês 3 - Mês 14,252792.50752314812,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
3,250636.0,253743.0,254051.0,257703.0,255805.0,254599.0,256606.0,252009.0,246273.0,251973.0833333333,252375.00694444444,252792.50752314812,Mês 4 - Mês 15,253213.79981674385,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
4,253743.0,254051.0,257703.0,255805.0,254599.0,256606.0,252009.0,246273.0,251973.0833333333,252375.00694444444,252792.50752314812,253213.79981674385,Mês 5 - Mês 16,253428.61646813917,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
5,254051.0,257703.0,255805.0,254599.0,256606.0,252009.0,246273.0,251973.0833333333,252375.00694444444,252792.50752314812,253213.79981674385,253428.61646813917,Mês 6 - Mês 17,253402.4178404841,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
6,257703.0,255805.0,254599.0,256606.0,252009.0,246273.0,251973.0833333333,252375.00694444444,252792.50752314812,253213.79981674385,253428.61646813917,253402.4178404841,Mês 7 - Mês 18,253348.3693271911,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
7,255805.0,254599.0,256606.0,252009.0,246273.0,251973.0833333333,252375.00694444444,252792.50752314812,253213.79981674385,253428.61646813917,253402.4178404841,253348.3693271911,Mês 8 - Mês 19,252985.48343779036,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
8,254599.0,256606.0,252009.0,246273.0,251973.0833333333,252375.00694444444,252792.50752314812,253213.79981674385,253428.61646813917,253402.4178404841,253348.3693271911,252985.48343779036,Mês 9 - Mês 20,252750.52372427288,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
9,256606.0,252009.0,246273.0,251973.0833333333,252375.00694444444,252792.50752314812,253213.79981674385,253428.61646813917,253402.4178404841,253348.3693271911,252985.48343779036,252750.52372427288,Mês 10 - Mês 21,252596.48403462893,Audi,RS Q3 2.5 TFSI Quattro S-tronic 5p,2015.0
